CodFuncionario;Genero;Faixa Etária;Tipo de Trabalho;Unidades;Centro de Custo;Data de Contratação;Situação;Tipo Pagamento;Motivo Demissão; Salário 
32386;Masculino;28;Contrato;Petrópolis - RJ;Operacional;08/11/2012;Ativo;Mensalista;Sem Justa Causa; R$ 8.224,44 
30372;Masculino;27;Tempo Parcial;Macaé - RJ;TI;15/11/2012;Ativo;Mensalista;Sem Justa Causa; R$ 8.654,68 
24102;Masculino;65;Contrato;Nova Iguaçu - RJ;RH;28/03/2013;Inativo;Horista;Sem Justa Causa; R$ 8.095,55 
24020;Masculino;47;Contrato;Arraial do Cabo - RJ;Pesquisa;11/04/2013;Ativo;Mensalista;Sem Justa Causa; R$ 7.532,04 
24078;Masculino;56;Tempo Integral;Macaé - RJ;Pesquisa;11/05/2013;Inativo;Mensalista;Sem Justa Causa; R$ 3.994,10 
24092;Masculino;40;Tempo Integral;Macaé - RJ;Vendas e Marketing;14/09/2013;Inativo;Horista;Sem Justa Causa; R$ 4.160,05 
23122;Masculino;50;Tempo Parcial;Petrópolis - RJ;Vendas e Marketing;06/10/2013;Inativo;Mensalista;Sem Justa Causa; R$ 6.890,79 
23652;Masculino;28;Tempo Parcial;Macaé - RJ;TI;17/10/2013;Inativo;Mensalista;Sem Justa Causa; R$ 8.706,76 
23608;Masculino;62;Tempo Integral;Niterói - RJ;Manutenção;20/11/2013;Ativo;Mensalista;Sem Justa Causa; R$ 4.734,71 
16876;Masculino;27;Tempo Parcial;Três Rios - RJ;Gerente Executivo;21/11/2013;Inativo;Mensalista;Pedido de Demissão; R$ 6.091,30 
12924;Masculino;34;Tempo Integral;Niterói - RJ;TI;04/06/2014;Ativo;Horista;Sem Justa Causa; R$ 8.816,73 
22658;Feminino;27;Tempo Integral;Macaé - RJ;Financeiro;18/06/2014;Ativo;Mensalista;Sem Justa Causa; R$ 9.527,97 
24006;Masculino;22;Tempo Parcial;Macaé - RJ;Gerente Executivo;17/07/2014;Ativo;Mensalista;Sem Justa Causa; R$ 6.286,26 
27466;Feminino;64;Tempo Parcial;Três Rios - RJ;TI;23/07/2014;Ativo;Mensalista;Sem Justa Causa; R$ 5.588,78 
19160;Feminino;24;Contrato;Niterói - RJ;Pesquisa;16/09/2014;Ativo;Mensalista;Pedido de Demissão; R$ 9.470,22 
19144;Feminino;29;Tempo Integral;Nova Iguaçu - RJ;TI;30/09/2014;Ativo;Mensalista;Pedido de Demissão; R$ 3.523,52 
17408;Feminino;59;Tempo Integral;Macaé - RJ;TI;07/10/2014;Inativo;Horista;Pedido de Demissão; R$ 9.323,75 
22186;Masculino;40;Tempo Integral;Três Rios - RJ;Gerente Executivo;18/11/2014;Inativo;Mensalista;Pedido de Demissão; R$ 3.384,23 
20642;Feminino;47;Tempo Integral;Niterói - RJ;Vendas e Marketing;04/02/2003;Ativo;Horista;Pedido de Demissão; R$ 9.906,67 
23714;Masculino;30;Tempo Integral;Macaé - RJ;RH;06/02/2003;Ativo;Mensalista;Sem Justa Causa; R$ 9.383,88 
24300;Masculino;22;Tempo Integral;Petrópolis - RJ;RH;06/05/2003;Ativo;Mensalista;Sem Justa Causa; R$ 8.910,59 
33366;Masculino;21;Contrato;Petrópolis - RJ;Vendas e Marketing;01/08/2003;Inativo;Mensalista;Sem Justa Causa; R$ 2.652,15 
33482;Feminino;62;Tempo Integral;Nova Iguaçu - RJ;Operacional;13/08/2003;Ativo;Horista;Sem Justa Causa; R$ 4.197,69 
24010;Masculino;48;Tempo Integral;Macaé - RJ;Financeiro;02/09/2003;Inativo;Mensalista;Sem Justa Causa; R$ 6.364,54 
23146;Feminino;45;Tempo Integral;Macaé - RJ;Vendas e Marketing;18/11/2003;Inativo;Mensalista;Sem Justa Causa; R$ 2.711,26 
33556;Feminino;27;Tempo Integral;Três Rios - RJ;Vendas e Marketing;05/02/2004;Ativo;Mensalista;Sem Justa Causa; R$ 7.298,33 
33408;Feminino;53;Tempo Integral;Angra dos Reis - RJ;Financeiro;09/03/2004;Ativo;Mensalista;Sem Justa Causa; R$ 3.099,40 
28362;Masculino;64;Tempo Integral;Petrópolis - RJ;Pesquisa;18/05/2004;Ativo;Horista;Sem Justa Causa; R$ 3.662,61 
28588;Feminino;35;Tempo Integral;Macaé - RJ;Pesquisa;21/05/2004;Inativo;Mensalista;Sem Justa Causa; R$ 4.493,81 
22954;Masculino;36;Tempo Parcial;Três Rios - RJ;Operacional;06/08/2004;Ativo;Mensalista;Sem Justa Causa; R$ 8.487,57 
33832;Feminino;70;Tempo Integral;Macaé - RJ;Manutenção;26/08/2004;Ativo;Horista;Pedido de Demissão; R$ 2.742,70 
27726;Feminino;69;Contrato;Nova Iguaçu - RJ;Gerente Executivo;14/10/2004;Ativo;Mensalista;Sem Justa Causa; R$ 4.861,17 
21498;Masculino;18;Tempo Integral;Angra dos Reis - RJ;TI;11/02/2005;Ativo;Horista;Pedido de Demissão; R$ 8.405,73 
29604;Feminino;22;Tempo Parcial;Arraial do Cabo - RJ;Financeiro;03/03/2005;Ativo;Mensalista;Sem Justa Causa; R$ 4.467,87 
19142;Feminino;26;Tempo Integral;Macaé - RJ;Vendas e Marketing;01/04/2005;Ativo;Mensalista;Pedido de Demissão; R$ 7.207,04 
23622;Masculino;48;Tempo Parcial;Três Rios - RJ;Gerente Executivo;28/04/2005;Ativo;Horista;Sem Justa Causa; R$ 2.796,25 
30770;Masculino;67;Contrato;Resende - RJ;Vendas e Marketing;22/06/2005;Ativo;Mensalista;Sem Justa Causa; R$ 4.314,35 
33570;Feminino;42;Contrato;Macaé - RJ;Financeiro;07/07/2005;Ativo;Mensalista;Sem Justa Causa; R$ 4.995,73 
22198;Feminino;70;Tempo Integral;Angra dos Reis - RJ;Jurídico;22/07/2005;Inativo;Mensalista;Pedido de Demissão; R$ 8.960,97 
31924;Masculino;33;Tempo Integral;Resende - RJ;RH;22/07/2005;Ativo;Mensalista;Sem Justa Causa; R$ 8.717,43 
33318;Masculino;20;Tempo Parcial;Angra dos Reis - RJ;Vendas e Marketing;18/10/2005;Inativo;Mensalista;Sem Justa Causa; R$ 4.516,97 
29580;Masculino;52;Tempo Integral;Arraial do Cabo - RJ;TI;24/10/2005;Ativo;Mensalista;Sem Justa Causa; R$ 8.799,42 
22930;Masculino;40;Tempo Integral;Angra dos Reis - RJ;Vendas e Marketing;25/10/2005;Ativo;Mensalista;Sem Justa Causa; R$ 2.700,60 
19150;Feminino;64;Tempo Integral;Macaé - RJ;Jurídico;27/10/2005;Inativo;Mensalista;Pedido de Demissão; R$ 6.215,66 
24080;Feminino;39;Tempo Integral;Macaé - RJ;Manutenção;01/12/2005;Inativo;Mensalista;Sem Justa Causa; R$ 9.797,87 
17838;Masculino;22;Tempo Integral;Macaé - RJ;Vendas e Marketing;07/03/2006;Ativo;Mensalista;Pedido de Demissão; R$ 7.851,84 
33882;Masculino;31;Tempo Integral;Petrópolis - RJ;Financeiro;28/03/2006;Ativo;Mensalista;Pedido de Demissão; R$ 3.309,60 
33244;Feminino;61;Tempo Integral;Macaé - RJ;Jurídico;03/04/2006;Ativo;Mensalista;Sem Justa Causa; R$ 4.474,64 
20658;Masculino;25;Tempo Integral;Petrópolis - RJ;TI;19/04/2006;Ativo;Mensalista;Sem Justa Causa; R$ 4.060,35 
33358;Feminino;27;Tempo Integral;Angra dos Reis - RJ;Financeiro;26/04/2006;Ativo;Mensalista;Sem Justa Causa; R$ 9.475,46 
23578;Masculino;57;Tempo Integral;Nova Iguaçu - RJ;Operacional;10/06/2006;Ativo;Horista;Sem Justa Causa; R$ 5.239,88 
33070;Masculino;34;Tempo Integral;Três Rios - RJ;Vendas e Marketing;12/06/2006;Ativo;Mensalista;Sem Justa Causa; R$ 9.344,75 
25608;Masculino;22;Tempo Integral;Niterói - RJ;Operacional;21/06/2006;Inativo;Horista;Sem Justa Causa; R$ 7.149,53 
33536;Masculino;33;Tempo Integral;Petrópolis - RJ;Operacional;27/06/2006;Inativo;Horista;Sem Justa Causa; R$ 8.224,44 
18730;Feminino;18;Tempo Parcial;Três Rios - RJ;Gerente Executivo;27/06/2006;Ativo;Mensalista;Sem Justa Causa; R$ 8.926,64 
31976;Masculino;34;Tempo Integral;Macaé - RJ;Jurídico;28/06/2006;Ativo;Mensalista;Sem Justa Causa; R$ 6.964,92 
29684;Feminino;58;Tempo Integral;Niterói - RJ;Manutenção;11/07/2006;Inativo;Mensalista;Sem Justa Causa; R$ 7.012,14 
23984;Feminino;61;Tempo Integral;Macaé - RJ;Manutenção;12/07/2006;Ativo;Mensalista;Sem Justa Causa; R$ 2.936,79 
24090;Masculino;36;Tempo Integral;Nova Iguaçu - RJ;Financeiro;25/07/2006;Inativo;Mensalista;Sem Justa Causa; R$ 4.109,88 
23594;Masculino;25;Tempo Integral;Macaé - RJ;Vendas e Marketing;01/08/2006;Ativo;Mensalista;Sem Justa Causa; R$ 4.957,69 
24108;Masculino;66;Tempo Integral;Macaé - RJ;TI;07/08/2006;Ativo;Horista;Sem Justa Causa; R$ 4.914,65 
22564;Feminino;46;Tempo Integral;Petrópolis - RJ;Pesquisa;14/08/2006;Ativo;Mensalista;Sem Justa Causa; R$ 3.788,91 
25336;Masculino;47;Tempo Integral;Macaé - RJ;Manutenção;19/08/2006;Ativo;Mensalista;Sem Justa Causa; R$ 6.041,01 
22636;Masculino;65;Contrato;Niterói - RJ;Gerente Executivo;01/09/2006;Ativo;Mensalista;Sem Justa Causa; R$ 4.111,67 
33402;Masculino;34;Tempo Integral;Macaé - RJ;Jurídico;14/09/2006;Ativo;Horista;Sem Justa Causa; R$ 5.171,77 
22872;Masculino;39;Tempo Parcial;Três Rios - RJ;Financeiro;19/09/2006;Ativo;Mensalista;Sem Justa Causa; R$ 8.541,75 
22828;Feminino;49;Tempo Integral;Macaé - RJ;Manutenção;19/09/2006;Ativo;Mensalista;Sem Justa Causa; R$ 3.604,47 
18342;Masculino;27;Tempo Integral;Macaé - RJ;Operacional;03/10/2006;Ativo;Mensalista;Pedido de Demissão; R$ 7.437,14 
23330;Feminino;33;Tempo Integral;Macaé - RJ;Pesquisa;18/10/2006;Inativo;Mensalista;Sem Justa Causa; R$ 8.302,45 
29608;Feminino;56;Tempo Integral;Petrópolis - RJ;Pesquisa;12/12/2006;Inativo;Mensalista;Sem Justa Causa; R$ 3.947,10 
20316;Masculino;49;Tempo Integral;Três Rios - RJ;Jurídico;23/01/2021;Ativo;Horista;Pedido de Demissão; R$ 6.033,55 
22784;Feminino;21;Tempo Integral;Resende - RJ;Operacional;23/01/2021;Ativo;Mensalista;Sem Justa Causa; R$ 2.730,52 
5620;Masculino;59;Tempo Integral;Macaé - RJ;Pesquisa;24/01/2021;Inativo;Mensalista;Sem Justa Causa; R$ 4.464,59 
24112;Masculino;64;Contrato;Niterói - RJ;Gerente Executivo;27/02/2021;Ativo;Mensalista;Sem Justa Causa; R$ 3.407,85 
24118;Masculino;25;Tempo Integral;Macaé - RJ;Vendas e Marketing;29/03/2021;Inativo;Horista;Sem Justa Causa; R$ 4.988,70 
29220;Feminino;58;Tempo Parcial;Macaé - RJ;Pesquisa;10/04/2021;Ativo;Mensalista;Sem Justa Causa; R$ 4.130,04 
23646;Masculino;68;Tempo Integral;Macaé - RJ;Operacional;25/04/2021;Ativo;Mensalista;Sem Justa Causa; R$ 4.421,88 
24018;Feminino;42;Tempo Integral;Petrópolis - RJ;Manutenção;05/06/2021;Inativo;Mensalista;Sem Justa Causa; R$ 9.075,36 
17850;Masculino;30;Contrato;Nova Iguaçu - RJ;Gerente Executivo;02/07/2021;Ativo;Mensalista;Pedido de Demissão; R$ 7.775,30 
24122;Masculino;45;Contrato;Três Rios - RJ;TI;16/07/2021;Inativo;Horista;Sem Justa Causa; R$ 6.653,34 
22836;Masculino;41;Tempo Integral;Petrópolis - RJ;Vendas e Marketing;17/07/2021;Inativo;Mensalista;Sem Justa Causa; R$ 7.643,05 
16756;Masculino;29;Tempo Integral;Resende - RJ;Vendas e Marketing;24/07/2021;Inativo;Horista;Pedido de Demissão; R$ 7.496,38 
24194;Masculino;59;Tempo Parcial;Macaé - RJ;Gerente Executivo;14/08/2021;Ativo;Mensalista;Sem Justa Causa; R$ 5.500,63 
18872;Feminino;33;Tempo Parcial;Niterói - RJ;TI;28/08/2021;Ativo;Mensalista;Pedido de Demissão; R$ 4.319,54 
29606;Feminino;43;Tempo Integral;Resende - RJ;Manutenção;28/08/2021;Ativo;Mensalista;Sem Justa Causa; R$ 7.073,17 
24270;Feminino;60;Tempo Parcial;Petrópolis - RJ;RH;03/09/2021;Inativo;Mensalista;Sem Justa Causa; R$ 2.602,01 
28634;Feminino;70;Tempo Parcial;Três Rios - RJ;Operacional;10/09/2021;Ativo;Mensalista;Sem Justa Causa; R$ 3.353,02 
22832;Masculino;31;Tempo Integral;Macaé - RJ;Gerente Executivo;17/09/2021;Ativo;Mensalista;Sem Justa Causa; R$ 8.656,28 
20766;Masculino;21;Contrato;Macaé - RJ;TI;18/09/2021;Inativo;Mensalista;Pedido de Demissão; R$ 4.304,89 
29168;Feminino;56;Tempo Integral;Macaé - RJ;Financeiro;25/09/2021;Ativo;Mensalista;Sem Justa Causa; R$ 6.335,07 
23738;Feminino;47;Tempo Parcial;Três Rios - RJ;Gerente Executivo;15/10/2021;Ativo;Mensalista;Sem Justa Causa; R$ 5.829,68 
23328;Feminino;27;Tempo Integral;Macaé - RJ;Gerente Executivo;22/10/2021;Ativo;Mensalista;Sem Justa Causa; R$ 6.206,45 
24130;Feminino;19;Tempo Integral;Três Rios - RJ;Manutenção;29/10/2021;Inativo;Horista;Sem Justa Causa; R$ 6.550,33 
23698;Masculino;50;Tempo Integral;Macaé - RJ;Pesquisa;05/11/2021;Inativo;Mensalista;Sem Justa Causa; R$ 3.198,18 
33648;Masculino;63;Tempo Parcial;Macaé - RJ;Gerente Executivo;05/11/2021;Ativo;Mensalista;Sem Justa Causa; R$ 6.743,55 
23590;Masculino;68;Tempo Parcial;Macaé - RJ;Pesquisa;13/11/2021;Inativo;Mensalista;Sem Justa Causa; R$ 5.626,56 
23412;Masculino;40;Tempo Integral;Niterói - RJ;Vendas e Marketing;04/12/2021;Ativo;Mensalista;Sem Justa Causa; R$ 8.883,74 
24002;Masculino;60;Tempo Parcial;Macaé - RJ;Operacional;11/02/2013;Ativo;Mensalista;Sem Justa Causa; R$ 8.542,21 
25166;Feminino;60;Tempo Integral;Macaé - RJ;TI;04/03/2013;Ativo;Mensalista;Sem Justa Causa; R$ 8.040,11 
18686;Feminino;54;Contrato;Macaé - RJ;Financeiro;15/04/2013;Ativo;Mensalista;Pedido de Demissão; R$ 2.936,56 
26362;Masculino;57;Tempo Integral;Arraial do Cabo - RJ;Operacional;13/05/2013;Ativo;Mensalista;Sem Justa Causa; R$ 6.188,23 
24116;Masculino;38;Tempo Parcial;Três Rios - RJ;Manutenção;25/06/2013;Ativo;Mensalista;Sem Justa Causa; R$ 9.477,59 
33422;Feminino;36;Tempo Integral;Macaé - RJ;RH;01/07/2013;Ativo;Mensalista;Sem Justa Causa; R$ 7.607,85 
20688;Feminino;31;Tempo Integral;Petrópolis - RJ;Manutenção;16/07/2013;Ativo;Mensalista;Pedido de Demissão; R$ 7.966,16 
26274;Feminino;63;Tempo Parcial;Petrópolis - RJ;Financeiro;22/07/2013;Ativo;Mensalista;Sem Justa Causa; R$ 3.450,75 
25610;Feminino;38;Tempo Parcial;Niterói - RJ;Vendas e Marketing;19/08/2013;Ativo;Mensalista;Sem Justa Causa; R$ 4.011,05 
24114;Masculino;48;Tempo Integral;Petrópolis - RJ;RH;27/08/2013;Inativo;Mensalista;Sem Justa Causa; R$ 5.487,39 
24096;Masculino;45;Tempo Integral;Resende - RJ;Manutenção;23/09/2013;Ativo;Mensalista;Sem Justa Causa; R$ 9.510,78 
23648;Masculino;49;Contrato;Macaé - RJ;Operacional;23/09/2013;Inativo;Mensalista;Sem Justa Causa; R$ 9.918,61 
18810;Feminino;50;Tempo Parcial;Petrópolis - RJ;Operacional;07/10/2013;Inativo;Mensalista;Pedido de Demissão; R$ 9.875,10 
24272;Masculino;32;Tempo Integral;Macaé - RJ;Manutenção;07/10/2013;Ativo;Mensalista;Sem Justa Causa; R$ 4.628,02 
30768;Masculino;57;Tempo Parcial;Resende - RJ;Gerente Executivo;08/10/2013;Inativo;Mensalista;Sem Justa Causa; R$ 5.228,31 
18488;Feminino;18;Tempo Integral;Macaé - RJ;Pesquisa;14/10/2013;Inativo;Mensalista;Pedido de Demissão; R$ 7.149,59 
33868;Masculino;27;Tempo Integral;Niterói - RJ;Manutenção;25/11/2013;Ativo;Mensalista;Pedido de Demissão; R$ 8.005,53 
25814;Feminino;60;Contrato;Arraial do Cabo - RJ;Pesquisa;10/12/2013;Inativo;Mensalista;Sem Justa Causa; R$ 8.291,28 
31658;Feminino;56;Tempo Integral;Macaé - RJ;Operacional;24/02/2014;Ativo;Horista;Sem Justa Causa; R$ 8.344,41 
24064;Masculino;21;Tempo Parcial;Macaé - RJ;Pesquisa;25/03/2014;Ativo;Mensalista;Sem Justa Causa; R$ 3.050,08 
26370;Masculino;49;Tempo Parcial;Angra dos Reis - RJ;Manutenção;31/03/2014;Ativo;Mensalista;Sem Justa Causa; R$ 6.093,67 
19156;Masculino;60;Tempo Parcial;Macaé - RJ;TI;31/03/2014;Inativo;Horista;Pedido de Demissão; R$ 5.006,58 
33446;Feminino;62;Tempo Integral;Macaé - RJ;Pesquisa;27/04/2014;Ativo;Horista;Sem Justa Causa; R$ 6.275,77 
18420;Feminino;31;Tempo Parcial;Niterói - RJ;TI;05/05/2014;Inativo;Mensalista;Sem Justa Causa; R$ 8.397,96 
24342;Masculino;21;Tempo Integral;Macaé - RJ;Financeiro;23/06/2014;Ativo;Mensalista;Sem Justa Causa; R$ 5.314,81 
17420;Feminino;35;Tempo Integral;Macaé - RJ;Manutenção;15/07/2014;Ativo;Horista;Pedido de Demissão; R$ 9.492,44 
27092;Feminino;38;Tempo Parcial;Resende - RJ;Operacional;04/08/2014;Ativo;Mensalista;Sem Justa Causa; R$ 5.702,26 
19916;Masculino;62;Tempo Parcial;Macaé - RJ;Operacional;08/09/2014;Ativo;Horista;Pedido de Demissão; R$ 5.195,09 
22842;Masculino;50;Tempo Integral;Arraial do Cabo - RJ;Vendas e Marketing;29/09/2014;Inativo;Mensalista;Sem Justa Causa; R$ 8.618,37 
7552;Masculino;30;Tempo Parcial;Macaé - RJ;Manutenção;30/09/2014;Ativo;Mensalista;Sem Justa Causa; R$ 9.710,32 
6818;Masculino;59;Tempo Integral;Macaé - RJ;RH;06/10/2014;Inativo;Horista;Sem Justa Causa; R$ 9.786,66 
17596;Masculino;62;Tempo Integral;Macaé - RJ;RH;27/10/2014;Ativo;Mensalista;Pedido de Demissão; R$ 6.032,96 
24474;Feminino;39;Tempo Integral;Macaé - RJ;Jurídico;08/12/2014;Inativo;Mensalista;Sem Justa Causa; R$ 5.269,05 
17004;Masculino;44;Tempo Integral;Nova Iguaçu - RJ;Operacional;07/03/2015;Ativo;Mensalista;Pedido de Demissão; R$ 7.670,21 
22840;Feminino;28;Tempo Integral;Niterói - RJ;RH;12/03/2015;Ativo;Mensalista;Sem Justa Causa; R$ 8.015,53 
5770;Masculino;26;Tempo Integral;Angra dos Reis - RJ;TI;02/05/2015;Ativo;Mensalista;Sem Justa Causa; R$ 5.720,18 
18266;Feminino;55;Tempo Integral;Angra dos Reis - RJ;Financeiro;04/05/2015;Ativo;Horista;Pedido de Demissão; R$ 3.365,82 
1024;Feminino;19;Contrato;Petrópolis - RJ;Pesquisa;09/05/2015;Ativo;Mensalista;Sem Justa Causa; R$ 6.343,07 
23638;Masculino;65;Contrato;Três Rios - RJ;Manutenção;28/05/2015;Ativo;Mensalista;Sem Justa Causa; R$ 3.435,10 
